secMarkDecoded,msgCountDecoded,Vehicle ID,Vehicle ID in hex,Lat.,Long.,Elevation,Speed,Heading,Width,Length,Acc._Long.,Acc._Lat.
1666986626.2149522,0,0,0,42.2293415743,-83.739758327,0,0,0,0,0,0,0
1666986626.2348948,0,0,0,42.2293416662,-83.7397562462,0,0,0,0,0,0,0
1666986626.2549305,0,0,0,42.2293417588,-83.7397541662,0,0,0,0,0,0,0
1666986626.2749345,0,0,0,42.2293418474,-83.7397520918,0,0,0,0,0,0,0
1666986626.294937,0,0,0,42.2293419429,-83.7397500121,0,0,0,0,0,0,0
1666986626.314901,0,0,0,42.2293420379,-83.739747933,0,0,0,0,0,0,0
1666986626.3349516,0,0,0,42.2293421273,-83.7397458613,0,0,0,0,0,0,0
1666986626.354854,0,0,0,42.2293422226,-83.7397437854,0,0,0,0,0,0,0
1666986626.374945,0,0,0,42.2293423176,-83.7397417099,0,0,0,0,0,0,0
1666986626.3949285,0,0,0,42.2293424066,-83.7397396414,0,0,0,0,0,0,0
1666986626.41487,0,0,0,42.2293425012,-83.7397375702,0,0,0,0,0,0,0
1666986626.434862,0,0,0,42.2293425957,-83.739735499,0,0,0,0,0,0,0
1666986626.45487,0,0,0,42.2293426842,-83.7397334331,0,0,0,0,0,0,0
1666986626.4748535,0,0,0,42.2293427779,-83.7397313643,0,0,0,0,0,0,0
1666986626.4948685,0,0,0,42.2293428715,-83.7397292938,0,0,0,0,0,0,0
1666986626.5149403,0,0,0,42.2293429603,-83.7397272301,0,0,0,0,0,0,0
1666986626.5349681,0,0,0,42.2293430535,-83.7397251603,0,0,0,0,0,0,0
1666986626.5548613,0,0,0,42.2293431459,-83.7397230929,0,0,0,0,0,0,0
1666986626.5748615,0,0,0,42.2293432344,-83.739721031,0,0,0,0,0,0,0
1666986626.5949984,0,0,0,42.2293433267,-83.7397189661,0,0,0,0,0,0,0
1666986626.6149013,0,0,0,42.2293434205,-83.7397169019,0,0,0,0,0,0,0
1666986626.6349204,0,0,0,42.2293435088,-83.739714845,0,0,0,0,0,0,0
1666986626.6548693,0,0,0,42.229343603,-83.7397127841,0,0,0,0,0,0,0
1666986626.6749203,0,0,0,42.2293436962,-83.7397107242,0,0,0,0,0,0,0
1666986626.694982,0,0,0,42.2293437849,-83.7397086712,0,0,0,0,0,0,0
1666986626.7148411,0,0,0,42.229343882,-83.7397066122,0,0,0,0,0,0,0
1666986626.7349045,0,0,0,42.2293439794,-83.7397045556,0,0,0,0,0,0,0
1666986626.7549112,0,0,0,42.2293440694,-83.739702504,0,0,0,0,0,0,0
1666986626.774849,0,0,0,42.2293441649,-83.7397004491,0,0,0,0,0,0,0
1666986626.7948427,0,0,0,42.2293442611,-83.7396983925,0,0,0,0,0,0,0
1666986626.8149335,0,0,0,42.2293443496,-83.7396963462,0,0,0,0,0,0,0
1666986626.8348615,0,0,0,42.2293444423,-83.7396942942,0,0,0,0,0,0,0
1666986626.8549018,0,0,0,42.2293445335,-83.7396922424,0,0,0,0,0,0,0
1666986626.875003,0,0,0,42.2293446178,-83.7396901966,0,0,0,0,0,0,0
1666986626.8948174,0,0,0,42.2293447065,-83.7396881488,0,0,0,0,0,0,0
1666986626.914904,0,0,0,42.2293447954,-83.7396861012,0,0,0,0,0,0,0
1666986626.9348724,0,0,0,42.2293448803,-83.7396840602,0,0,0,0,0,0,0
1666986626.9549115,0,0,0,42.2293449693,-83.7396820161,0,0,0,0,0,0,0
1666986626.9749157,0,0,0,42.2293450588,-83.7396799714,0,0,0,0,0,0,0
1666986626.994903,0,0,0,42.2293451434,-83.7396779316,0,0,0,0,0,0,0
1666986627.014897,0,0,0,42.2293452346,-83.7396758891,0,0,0,0,0,0,0
1666986627.0349016,0,0,0,42.2293453243,-83.7396738439,0,0,0,0,0,0,0
1666986627.0549579,0,0,0,42.2293454104,-83.7396718088,0,0,0,0,0,0,0
1666986627.075016,0,0,0,42.2293455022,-83.7396697707,0,0,0,0,0,0,0
1666986627.094906,0,0,0,42.229345594,-83.7396677297,0,0,0,0,0,0,0
1666986627.1149683,0,0,0,42.2293456808,-83.7396656984,0,0,0,0,0,0,0
1666986627.1349754,0,0,0,42.229345771,-83.7396636632,0,0,0,0,0,0,0
1666986627.154959,0,0,0,42.2293458592,-83.7396616282,0,0,0,0,0,0,0
1666986627.174951,0,0,0,42.229345942,-83.7396596005,0,0,0,0,0,0,0
1666986627.195061,0,0,0,42.2293460274,-83.7396575691,0,0,0,0,0,0,0
1666986627.214889,0,0,0,42.2293461139,-83.7396555382,0,0,0,0,0,0,0
1666986627.2349463,0,0,0,42.2293461933,-83.7396535151,0,0,0,0,0,0,0
1666986627.2548444,0,0,0,42.2293462764,-83.7396514878,0,0,0,0,0,0,0
1666986627.274863,0,0,0,42.2293463602,-83.7396494606,0,0,0,0,0,0,0
1666986627.2948537,0,0,0,42.2293464387,-83.7396474402,0,0,0,0,0,0,0
